ORGANIZATION_NAME,APPLICATION_STATUS,COMPANY NAME,DATE,COUNTRY,ARTICLES,HIGHLIGHT,PATICULAR,EXTRA NOUNS,EXTRA VERB,EXTRA ADJACTIVE
The Financial Conduct Authority ('FCA'),announced,IBUK over Â£1M for , 25 January 2018, UK,NO ARTICLES,highlighted that IBUK hadÂ failed to adequately reviewÂ the reports produced by its US team,no particular,"['Financial', 'Conduct', 'Authority', 'January', 'Interactive', 'Brokers', 'Â£1,049,412', 'implementÂ', 'systems', 'controls', 'transactions', 'February', 'February', 'reports', 'reviews', 'Director', 'Enforcement', 'Market', 'Oversight', 'Steward', 'responsibility', 'conduct', 'capital', 'markets', 'obligation', 'trading', 'systems', 'purpose', 'systems', 'transactions', 'standards', 'counterparties', 'market', 'standards', 'market', 'conduct', 'markets', 'release']","['announced', 'failing', 'identifying', 'reporting', 'highlighted', 'failed', 'reviewÂ', 'produced', 'ensured', 'conducting', 'trained', 'report', 'ensure', 'bargain', 'continue', 'enforce', 'ensure', 'function']","['finedÂ', 'post-trade', 'suspicious', 'suspicious', 'financial', 'inadequate', 'ineffective', 'suspicious', 'appropriate', 'exposed', 'appropriate']"
"The Taskforce on Innovation, Growth and Regulatory R",published,no company name, 16 June 2021, UK,Article 22 ,no highlight,"In particular, the Taskforce was formed upon request by Johnson, in order to identify and develop proposals across a range of areas driving innovation, growth, and competitiveness through regulatory reform","['Taskforce', 'Innovation', 'Growth', 'Regulatory', 'Reform', 'report', 'recommendations', 'Minister', 'Johnson', 'approach', 'regulation', 'opportunities', 'Brexit', 'Taskforce', 'request', 'Johnson', 'proposals', 'innovation', 'growth', 'competitiveness', 'reform', 'report', 'protection', 'framework', 'Framework', 'Citizen', 'Rights', 'General', 'Protection', 'Regulation', 'Regulation', 'purposes', 'report', 'reform', 'rights', 'powers', 'consumers', 'citizens', 'responsibility', 'companies', 'innovation', 'interest', 'report', 'concerns', 'intelligence', 'growth', 'sectors', 'innovation', 'report', 'Article', 'legitimacy', 'decision-making', 'release']","['published', 'containing', 'reshape', 'formed', 'identify', 'develop', 'driving', 'replace', 'describing', 'restricting', 'proposes', 'placing', 'freeing', 'indicates', 'revised', 'enable', 'suggests', 'should', 'removed']","['particular', 'regulatory', 'worthwhile', 'stronger', 'public', 'artificial', 'automated']"
The Abu Dhabi Global Market ('ADGM'),announced,for failure to pay, 25 July 2021,ADGM,NO ARTICLES,no highlight,no particular,"['Global', 'Market', 'Protection', 'Regulations', 'Protection', 'Regulations', ""'Fines"", 'Furthermore', 'entities', 'February', 'August', 'whileÂ', 'entities', 'existence', 'February', 'February', 'commencement', 'Regulations', 'addition', 'Office', 'Protection', 'guidance', 'documents', 'entities', 'understanding', 'Regulations', 'website', 'release']","['announced', 'issued', 'stated', 'registered', 'clarified', 'publishing', 'assist', 'interpreting']",['respective']
The Financial Services Regulatory Authority ('FSRA'),announced,AT Capital Markets , 17 December 2019,ADGM,NO ARTICLES,highlighted thatÂ AT Capital Markets agreed to settle this matter at an early stage following the conclusion of theÂ investigation,no particular,"['Financial', 'Services', 'Regulatory', 'Authority', 'Global', 'Market', 'December', 'Capital', 'Markets', 'LimitedÂ', 'licence', 'things', 'failures', 'governance', 'systems', 'controls', 'client', 'classification', 'laundering', 'processes.Â', 'Furthermore', 'Capital', 'Markets', 'Senior', 'Executive', 'Officer', 'involvementÂ', 'activities', 'failure', 'Capital', 'Markets', 'requirements', 'addition', 'Capital', 'Markets', 'breach', 'requirements', 'activities', 'Financial', 'Services', 'Permission', 'clients', 'investigation', 'Capital', 'Markets', 'information', 'nature', 'activities', 'failingÂ', 'misconduct', 'employees', 'addition', 'Capital', 'Markets', 'matter', 'conclusion', 'investigation', 'discretion', 'discount', 'policies', 'settlement.Â', 'release']","['announced', 'suspended', 'ensure', 'complied', 'operated', 'conducting', 'dealing', 'prohibited', 'provided', 'concerning', 'notify', 'alleged', 'highlighted', 'agreed', 'settle', 'following', 'exercised']","['internal', 'anti-money', 'active', 'unauthorised', 'reasonable', 'regulatory', 'regulated', 'retail', 'misleading', 'certain']"
The Office of the Information and Privacy Commissioner ('OIPC'),published,"AHS employee CAD 5,", 10Â February 2022,Alberta,NO ARTICLES,"highlighted that none of the individuals were patients at the AHS unitÂ where Mushinksi was employed as a clerk.
Outcomes
Finally","In particular, the OIPC outlined that itÂ had initiated an offence investigation into Marie Mushinski, a former AHS employee, after AHS notified the OIPC of a data breach in June 2020, following whichÂ charges were laid in April 2021","['Office', 'Information', 'Privacy', 'Commissioner', 'February', 'conclusion', 'investigation', 'February', 'approx', 'â‚¬3,620', 'Alberta', 'Health', 'Services', 'employee', 'violations', 'Section', 'Health', 'Information', 'access', 'health', 'information', 'Background', 'investigation', 'offence', 'investigation', 'Mushinski', 'employee', 'breach', 'whichÂ', 'charges', 'Findings', 'Furthermore', 'Mushinksi', 'health', 'information', 'individuals', 'period', 'individuals', 'patients', 'Mushinksi', 'Outcomes', 'Mushkisnki', 'February', 'health', 'information', 'violation', 'Section', 'approx', 'â‚¬3,620', 'approx', 'â‚¬725', 'victim', 'surcharge', 'months', 'probation', 'period', 'employment', 'capacity', 'access', 'health', 'information', 'release']","['published', 'issued', 'imposed', 'following', 'outlined', 'initiated', 'notified', 'following', 'detailed', 'accessed', 'highlighted', 'employed', 'accessed', 'includes', 'allows']","['unnamed', 'regional', 'formerÂ', 'unauthorisedÂ', 'particular', 'former', 'two-year', 'guilty']"
TheÂ National Data Protection AgencyÂ ('APD'),announced,"BPC $525,000 for pu", 29 April 2022,Angola,"Articles 30, 31, 32, and 35(1) ",no highlight,"In particular, the APD outlined that the decision follows an investigation into the public disclosure, through online social networks, of a map of employees who had been laid off by BPC","['National', 'Protection', 'AgencyÂ', 'decision', 'PoupanÃ§a', 'CrÃ©dito', 'Angola', 'equivalent', 'violations', 'Articles', 'Protection', 'Personal', 'Background', 'decision', 'investigation', 'disclosure', 'networks', 'employees', 'Findings', 'violations', 'relation', 'disclosure', 'employee', 'Outcome', 'findings', 'amount', 'release', 'Portuguese']","['announced', 'issued', 'finedÂ', 'outlined', 'follows', 'identified', 'decided']","['government-owned', 'particular', 'public', 'online', 'social', 'following', 'public', 'available']"
The Argentinian data protection authority ('AAIP'),issued,Google for right to, 6 June 2019,Argentina,NO ARTICLES,no highlight,"In particular, the AAIP found that Google did not allow a user to access their personal data in their Gmail account and related applications after changes to their passwords were made by an unauthorised third party","['Argentinian', 'protection', 'authority', 'decision', 'Decision', 'approx', 'â‚¬3,770', 'Google', 'Argentina', 'Google', 'violations', 'Personal', 'Protection', 'Google', 'access', 'account', 'applications', 'changes', 'passwords', 'release']","['issued', 'imposing']","['particular', 'personal', 'related', 'unauthorised']"
The Argentinian data protection authority ('AAIP'),issued,Rappi for right to , 13 April 2021,Argentina,NO ARTICLES,highlighted that on repeated occasions,"In particular, the AAIP noted that anÂ investigation was carried out based on theÂ complaint from a person who had made deliveries for Rappi and decided to unsubscribeÂ from the application but continued toÂ receiveÂ emails and messages on his phone","['Argentinian', 'protection', 'authority', 'decision', 'approx', 'â‚¬722', 'violations', 'Personal', 'Protection', 'investigation', 'complaint', 'person', 'deliveries', 'application', 'receiveÂ', 'emails', 'messages', 'occasions', 'complainant', 'company', 'databases', 'responses', 'release']","['issued', 'imposing', 'carried', 'decided', 'unsubscribeÂ', 'continued', 'highlighted', 'delete', 'obtaining']","['particular', 'repeated', 'personal', 'unsatisfactory']"
The Argentinian data protection authority ('AAIP')Â,announced,TelefÃ³nica ARS 3M , 28 January 2020,Argentina,Article 7Â ,no highlight,"In particular, the AAIP issued aÂ fine of ARS 3,000,000 (approx","['Argentinian', 'protection', 'authority', 'January', 'resolution', 'Resolution', 'againstÂ', 'TelefÃ³nica', 'MÃ³viles', 'Argentina', 'violations', 'approx', 'â‚¬45,000', 'againstÂ', 'TelefÃ³nicaÂ', 'charges', 'violationsÂ', 'Article', 'services', 'telephone', 'communications', 'registry', 'Resolution']","['announced', 'issued', 'issued', 'relating', 'provides', 'advertise', 'address', 'registered']","['particular', 'individual', 'avalaible', 'Spanish']"
The Argentinian data protection authority ('AAIP'),issued,"Yahoo! ARS 105,000 ", 6 June 2019,Argentina,Article 9 ,no highlight,"In particular, the AAIP issued a ARS 80,000 (approx","['Argentinian', 'protection', 'authority', 'approx', 'â‚¬2,190', 'Argentina', 'S.R.LÂ', 'violations', 'Personal', 'Protection', 'approx', 'â‚¬1,670', 'failureÂ', 'measures', 'security', 'confidentiality', 'violation', 'Article', 'relation', 'breachÂ', 'accounts', 'addresses', 'addition', 'approx', 'â‚¬520', 'failingÂ', 'manner', 'cancellation', 'registration', 'National', 'Registry', 'Personal', 'Databases', 'business', 'operations', 'Argentina', 'Decision']","['issued', 'issued', 'guarantee', 'approximatelyÂ', 'associated', 'disclosed', 'inform', 'ceasing']","['particular', 'necessary', 'technical', 'organisational', 'personal', 'Argentinian', 'timely', 'available', 'Spanish']"
The Argentinian data protection authority's ('PDP'),was,for data protection, 29 December 2016,Argentina,NO ARTICLES,no highlight,no particular,"['Argentinian', 'protection', 'authority', 'Regulation', 'E/2016', 'protection', 'sanctions', 'Regulation', 'December', 'Official', 'Gazette', 'series', 'accumulation', 'sanctions', 'result', 'infractions', 'infractions', 'infractions']","['published', 'creating', 'result']","['maximum', 'maximum', 'serious', 'serious']"
The Australian Communications and Media Authority ('ACMA'),announced,Allied Construction, 22 March 2018,Australia,NO ARTICLES,no highlight,no particular,"['Communications', 'Authority', 'Allied', 'Construction', 'Roofing', 'approx', 'â‚¬13,000', 'numbers', 'Register', 'consent', 'addition', 'notedÂ', 'undertaking', 'Allied', 'Construction', 'commitment', 'Australia', 'telemarketing', 'addition', 'payment', 'release']","['announced', 'calling', 'obtaining', 'accepted', 'detailing', 'comply']","['Australian', 'enforceable']"
The Australian Communications and Media Authority ('ACMA'),announced,Brand Link Media AU, 1 May 2019,Australia,NO ARTICLES,highlighted that Brand Link Media has undertaken to have an independent review of its policies and procedures for compliance with the Act,no particular,"['Communications', 'Authority', 'approx', 'â‚¬7,900', 'marketing', 'emails', 'consent', 'consumers', 'addition', 'undertaking', 'commitment', 'compliance', 'review', 'policies', 'procedures', 'compliance', 'records', 'consent', 'Nerida', ""O'Loughlin"", 'Consumers', 'marketing', 'messages', 'e-marketing', 'services', 'businesses', 'release']","['announced', 'sending', 'outlined', 'accepted', 'detailing', 'improve', 'highlighted', 'undertaken', 'includingÂ', 'obtains', 'frustrated', 'consented', 'receive', 'concerned', 'involves', 'looking']","['Australian', 'enforceable', 'independent', 'financial']"
The Australian Communications and Media Authority ('ACMA'),announced,Ecostar Double Glaz, 14 May 2018,Australia,NO ARTICLES,no highlight,"In particular, the ACMA outlinedÂ that Ecostar Double Glazing had initially obtained express consent for its telemarketing activities, however, consideringÂ thatÂ the initial consent had lapsed after three months, Ecostar Double Glazing was found inÂ breachÂ of the telemarketing rules","['Communications', 'Authority', 'Ecostar', 'Double', 'Glazing', 'approx', 'â‚¬15,880', 'numbers', 'Register', 'consent', 'outlinedÂ', 'Ecostar', 'Double', 'Glazing', 'consent', 'telemarketing', 'activities', 'consent', 'months', 'Ecostar', 'Double', 'Glazing', 'breachÂ', 'telemarketing', 'release']","['announced', 'calling', 'obtaining', 'obtained', 'consideringÂ', 'lapsed']","['Australian', 'particular', 'express', 'initial']"
The Australian Communications and Media Authority ('ACMA'),announced,Foxtel Management A, 13 December 2018,Australia,NO ARTICLES,no highlight,"In particular, the ACMA found that Foxtel Management had continued to sell its products and services to consumers after they had indicated that they wanted to end the call, in violation of the Telemarketing Industry Standards, whichÂ require telemarketers to end a call immediately when asked","['Communications', 'Authority', 'December', 'Foxtel', 'Management', 'approx.â‚¬15,900', 'violations', 'Foxtel', 'Management', 'products', 'services', 'consumers', 'violation', 'Telemarketing', 'Industry', 'Standards', 'require', 'telemarketers', 'release']","['announced', 'telemarketing', 'continued', 'indicated', 'wanted']","['Australian', 'particular', 'whichÂ']"
The Australian Communications and Media Authority ('ACMA'),announced,Instyle Solar AUD 1, 22 JanuaryÂ 2018,Australia,NO ARTICLES,no highlight,no particular,"['Communications', 'Authority', 'JanuaryÂ', 'Instyle', 'approx', 'â‚¬7,000', 'consent', 'numbers', 'Register', 'addition', 'Instyle', 'records', 'consent', 'numbers', 'numbers', 'Nerida', 'Oâ€™Loughlin', 'Telemarketers', 'number', 'Register', 'consent', 'consent', 'action', 'release']","['announced', 'failing', 'obtain', 'maintained', 'gathered', 'including', 'purchasing', 'stated', 'demonstrate', 'demonstrate']","['Australian', 'adequate', 'several']"
The Australian Communications and Media Authority ('ACMA'),announced,"Kalkine AUD 251,400", 16 June 2021,Australia,NO ARTICLES,no highlight,"In particular, the ACMA found that Kalkine had made over 7,200 calls to more than 5,400 phone numbers on the Do Not Call Register from January to September 2020","['Communications', 'Authority', 'Kalkine', 'Limited', 'approx', 'â‚¬159,190', 'breach', 'Australia', 'telemarketing', 'Kalkine', 'numbers', 'Register', 'January', 'September', 'addition', 'penalties', 'Kalkine', 'reviews', 'systems', 'processes', 'procedures', 'undertakings', 'regard', 'Nerida', 'Oâ€™Loughlin', 'services', 'sector', 'potential', 'impacts', 'impacts', 'people', 'circumstances', 'products', 'services', 'release']","['announced', 'paying', 'conduct', 'accepted', 'focusing', 'involved', 'stated', 'Unwanted']","['Australian', 'particular', 'financial', 'independent', 'two-year', 'court-enforceable', 'financial', 'broader', 'financial', 'significant', 'social', 'economic', 'serious', 'vulnerable']"
The Australian Communications and Media Authority ('ACMA'),announced,Kalkine Media AUD 1, 16 June 2021,Australia,NO ARTICLES,no highlight,"In particular, ACMA found that Kalkine Media had sent over 2,774 spam emails to more than 2,700 recipients without their consent from January to September 2020","['Communications', 'Authority', 'Kalkine', 'approx', 'â‚¬68,900', 'breach', 'Australia', 'telemarketing', 'Kalkine', 'recipients', 'consent', 'January', 'September', 'addition', 'penalties', 'Kalkine', 'reviews', 'systems', 'processes', 'procedures', 'undertakings', 'Nerida', ""O'Loughlin"", 'services', 'sector', 'potential', 'impacts', ""O'Loughlin"", 'Unwanted', 'impacts', 'people', 'circumstances', 'products', 'services', 'release']","['announced', 'emails', 'paying', 'conduct', 'accepted', 'focussing', 'involved', 'stated', 'donâ€™t']","['Australian', 'particular', 'financial', 'independent', 'two-year', 'court-enforceable', 'financial', 'broader', 'financial', 'significant', 'social', 'economic', 'serious', 'vulnerable']"
